user_id,card_type,masked_number,status,locked,created_at,updated_at
1,DEBIT,**** **** **** 1234,ACTIVE,false,2025-07-26T05:22:14.401814+00:00,2026-02-09T05:22:14.401814+00:00
1,CASH,**** **** **** 5678,LOCKED,true,2025-01-07T05:22:14.401814+00:00,2026-02-10T05:22:14.401814+00:00
2,DEBIT,**** **** **** 9012,ACTIVE,false,2025-11-03T05:22:14.401814+00:00,2026-02-11T02:22:14.401814+00:00
1,CASH,**** **** **** 4661,LOCKED,true,2025-08-27T04:12:54.406314+00:00,2025-10-27T02:32:44.406314+00:00
1,CASH,**** **** **** 5127,REISSUE_REQUESTED,false,2024-11-06T20:59:45.406314+00:00,2025-12-11T02:52:10.406314+00:00
2,DEBIT,**** **** **** 2202,ACTIVE,false,2025-03-04T18:47:08.406814+00:00,2025-09-13T15:13:46.406814+00:00
3,DEBIT,**** **** **** 7466,LOCKED,true,2025-03-23T15:00:18.406814+00:00,2025-11-18T09:04:14.406814+00:00
3,DEBIT,**** **** **** 9677,LOCKED,true,2025-11-23T22:07:48.406814+00:00,2025-04-27T22:28:15.406814+00:00
4,DEBIT,**** **** **** 1059,LOCKED,true,2024-03-16T22:00:21.408315+00:00,2025-09-02T10:11:22.408315+00:00
5,CASH,**** **** **** 4151,REISSUE_REQUESTED,false,2024-05-17T16:30:01.408315+00:00,2025-11-23T21:14:02.408315+00:00
6,CASH,**** **** **** 3530,ACTIVE,false,2024-08-10T06:48:35.408315+00:00,2025-05-14T14:08:08.408315+00:00
7,DEBIT,**** **** **** 5266,LOCKED,true,2025-12-30T22:32:05.408315+00:00,2025-05-21T14:58:49.408315+00:00
7,CASH,**** **** **** 3050,ACTIVE,false,2025-10-22T07:43:40.408315+00:00,2025-07-09T01:29:02.408315+00:00
8,DEBIT,**** **** **** 1719,REISSUE_REQUESTED,false,2025-12-28T18:05:32.408315+00:00,2025-05-04T23:18:30.408315+00:00
8,DEBIT,**** **** **** 4239,LOCKED,true,2024-09-21T14:58:43.408315+00:00,2025-04-04T13:11:06.408315+00:00
9,CASH,**** **** **** 4027,LOCKED,true,2024-10-09T03:43:38.408815+00:00,2025-10-05T04:56:10.408815+00:00
10,DEBIT,**** **** **** 1695,LOCKED,true,2025-09-21T05:04:54.408815+00:00,2025-10-13T18:08:23.408815+00:00
11,CASH,**** **** **** 8544,LOCKED,true,2024-07-04T12:07:33.408815+00:00,2025-07-11T21:56:59.408815+00:00
11,DEBIT,**** **** **** 1071,ACTIVE,false,2024-11-19T12:02:21.408815+00:00,2025-12-09T09:26:22.408815+00:00
12,CASH,**** **** **** 7000,LOCKED,true,2024-08-30T08:25:31.408815+00:00,2025-02-26T07:23:08.408815+00:00
12,CASH,**** **** **** 6141,LOCKED,true,2024-11-07T06:11:33.408815+00:00,2025-03-14T02:29:27.408815+00:00
13,DEBIT,**** **** **** 7543,LOCKED,true,2025-05-02T18:20:19.408815+00:00,2025-03-16T14:03:17.408815+00:00
14,DEBIT,**** **** **** 2803,ACTIVE,false,2024-09-26T15:04:40.408815+00:00,2025-09-03T01:44:30.408815+00:00
15,DEBIT,**** **** **** 6479,LOCKED,true,2025-04-28T07:21:29.409314+00:00,2025-08-30T23:28:23.409314+00:00
16,CASH,**** **** **** 6930,ACTIVE,false,2024-06-19T23:11:11.409314+00:00,2026-01-10T14:50:32.409314+00:00
17,DEBIT,**** **** **** 9025,ACTIVE,false,2024-12-08T02:30:13.409314+00:00,2025-06-25T07:57:01.409314+00:00
18,CASH,**** **** **** 3827,LOCKED,true,2024-06-23T19:06:09.409314+00:00,2025-07-02T12:06:41.409314+00:00
19,CASH,**** **** **** 1466,REISSUE_REQUESTED,false,2024-10-13T01:08:25.409314+00:00,2025-09-05T11:01:58.409314+00:00
20,CASH,**** **** **** 6295,LOCKED,true,2024-12-27T18:02:07.409814+00:00,2025-02-28T00:05:18.409814+00:00
20,DEBIT,**** **** **** 2772,ACTIVE,false,2025-12-13T10:17:26.409814+00:00,2025-09-17T09:01:35.409814+00:00
21,CASH,**** **** **** 6322,ACTIVE,false,2024-11-07T15:53:45.409814+00:00,2025-04-14T20:16:25.409814+00:00
21,CASH,**** **** **** 9590,LOCKED,true,2025-08-27T01:57:38.409814+00:00,2025-10-08T12:53:42.409814+00:00
22,CASH,**** **** **** 9363,LOCKED,true,2024-03-31T09:47:42.409814+00:00,2026-02-08T11:23:58.409814+00:00
23,DEBIT,**** **** **** 1618,LOCKED,true,2024-10-05T05:20:05.409814+00:00,2025-03-26T21:19:03.409814+00:00
23,DEBIT,**** **** **** 1328,ACTIVE,false,2025-10-02T15:04:32.409814+00:00,2025-08-12T10:16:26.409814+00:00
24,DEBIT,**** **** **** 9623,ACTIVE,false,2024-09-08T23:29:08.409814+00:00,2025-07-07T04:25:49.409814+00:00
24,CASH,**** **** **** 7680,LOCKED,true,2024-11-15T20:38:42.409814+00:00,2025-05-25T06:39:34.409814+00:00
25,DEBIT,**** **** **** 3107,ACTIVE,false,2025-02-12T11:51:50.409814+00:00,2025-05-30T19:48:06.409814+00:00
25,DEBIT,**** **** **** 8315,LOCKED,true,2024-05-05T21:37:01.409814+00:00,2025-10-18T06:38:18.409814+00:00
26,DEBIT,**** **** **** 5167,ACTIVE,false,2024-05-01T02:02:25.409814+00:00,2025-06-07T20:53:44.409814+00:00
26,DEBIT,**** **** **** 3834,ACTIVE,false,2025-12-26T03:06:06.409814+00:00,2025-04-23T18:53:36.409814+00:00
27,DEBIT,**** **** **** 9309,LOCKED,true,2025-08-20T17:12:33.409814+00:00,2025-05-27T09:56:58.409814+00:00
28,CASH,**** **** **** 1440,LOCKED,true,2025-01-31T10:23:18.410314+00:00,2025-10-21T07:33:53.410314+00:00
28,CASH,**** **** **** 9474,REISSUE_REQUESTED,false,2026-01-13T01:06:43.410314+00:00,2025-07-16T01:05:33.410314+00:00
29,DEBIT,**** **** **** 8111,REISSUE_REQUESTED,false,2024-03-09T08:10:57.410314+00:00,2025-12-08T06:06:13.410314+00:00
30,DEBIT,**** **** **** 9623,LOCKED,true,2025-11-24T05:20:52.410314+00:00,2025-11-14T05:56:53.410314+00:00
31,CASH,**** **** **** 5952,LOCKED,true,2024-12-09T00:15:47.410314+00:00,2025-04-28T05:32:53.410314+00:00
32,CASH,**** **** **** 3213,LOCKED,true,2026-01-24T23:54:43.410314+00:00,2025-07-25T16:10:25.410314+00:00
33,CASH,**** **** **** 9716,LOCKED,true,2025-08-03T02:53:45.410314+00:00,2025-12-02T18:40:18.410314+00:00
34,DEBIT,**** **** **** 6353,LOCKED,true,2024-05-06T20:09:53.410314+00:00,2025-02-13T20:23:09.410314+00:00
35,CASH,**** **** **** 8615,LOCKED,true,2025-10-22T04:54:57.410314+00:00,2025-04-01T13:13:46.410314+00:00
36,CASH,**** **** **** 9242,REISSUE_REQUESTED,false,2024-09-14T20:01:42.410314+00:00,2025-10-07T01:15:20.410314+00:00
37,CASH,**** **** **** 3126,LOCKED,true,2024-07-18T20:45:27.410314+00:00,2025-03-12T05:30:17.410314+00:00
37,CASH,**** **** **** 2058,LOCKED,true,2024-09-08T08:50:30.410314+00:00,2025-08-20T15:14:50.410314+00:00
38,DEBIT,**** **** **** 5229,LOCKED,true,2025-02-15T12:13:06.410314+00:00,2026-01-07T20:34:32.410314+00:00
38,DEBIT,**** **** **** 9885,ACTIVE,false,2025-11-29T15:54:40.410314+00:00,2025-07-02T03:17:58.410314+00:00
39,CASH,**** **** **** 7755,REISSUE_REQUESTED,false,2024-03-25T03:55:50.410314+00:00,2025-04-16T20:03:26.410314+00:00
39,CASH,**** **** **** 3086,ACTIVE,false,2025-03-05T17:05:44.410314+00:00,2025-12-31T21:20:49.410314+00:00
40,DEBIT,**** **** **** 6848,LOCKED,true,2025-01-01T07:21:20.411325+00:00,2025-11-07T21:34:52.411325+00:00
41,CASH,**** **** **** 9757,ACTIVE,false,2024-10-01T06:05:51.411325+00:00,2025-09-21T02:14:47.411325+00:00
41,CASH,**** **** **** 2321,LOCKED,true,2025-10-05T09:12:01.411325+00:00,2025-09-27T22:13:38.411325+00:00
42,DEBIT,**** **** **** 9396,ACTIVE,false,2025-01-07T20:57:29.411325+00:00,2025-10-20T01:26:03.411325+00:00
43,CASH,**** **** **** 8085,LOCKED,true,2025-11-13T01:33:38.411832+00:00,2026-01-24T15:29:13.411832+00:00
44,CASH,**** **** **** 1704,LOCKED,true,2026-01-13T08:49:10.411832+00:00,2025-10-04T05:02:47.411832+00:00
45,DEBIT,**** **** **** 3656,REISSUE_REQUESTED,false,2025-08-21T16:16:34.411832+00:00,2025-09-21T17:29:15.411832+00:00
45,CASH,**** **** **** 8979,LOCKED,true,2025-03-14T17:57:10.411832+00:00,2025-04-13T00:20:27.411832+00:00
46,DEBIT,**** **** **** 6758,ACTIVE,false,2025-01-03T06:43:45.412334+00:00,2025-09-24T22:37:23.412334+00:00
46,CASH,**** **** **** 3713,LOCKED,true,2024-10-30T01:36:51.412334+00:00,2025-12-17T20:10:19.412334+00:00
47,DEBIT,**** **** **** 7101,LOCKED,true,2025-12-08T19:46:32.412334+00:00,2025-07-13T19:29:03.412334+00:00
47,DEBIT,**** **** **** 8611,ACTIVE,false,2024-03-07T01:36:47.412334+00:00,2026-01-13T06:42:34.412334+00:00
48,DEBIT,**** **** **** 7138,LOCKED,true,2024-10-24T12:04:49.412334+00:00,2025-08-24T02:01:07.412334+00:00
48,DEBIT,**** **** **** 6164,LOCKED,true,2026-01-26T16:51:56.412334+00:00,2025-03-06T11:15:36.412334+00:00
49,DEBIT,**** **** **** 2098,LOCKED,true,2024-03-29T04:31:41.412334+00:00,2025-08-25T09:50:50.412334+00:00
50,DEBIT,**** **** **** 7468,ACTIVE,false,2025-12-28T00:51:28.412334+00:00,2025-12-01T21:05:21.412334+00:00
50,CASH,**** **** **** 3847,ACTIVE,false,2025-08-12T04:21:58.412334+00:00,2025-05-25T17:28:34.412334+00:00
51,DEBIT,**** **** **** 6854,LOCKED,true,2024-04-24T04:06:35.412833+00:00,2025-07-08T20:34:27.412833+00:00
51,CASH,**** **** **** 5538,LOCKED,true,2024-03-21T20:04:32.412833+00:00,2025-09-08T14:06:01.412833+00:00
52,CASH,**** **** **** 3355,LOCKED,true,2024-10-22T00:31:26.412833+00:00,2025-05-13T04:39:24.412833+00:00
52,DEBIT,**** **** **** 5924,REISSUE_REQUESTED,false,2024-05-30T16:11:31.412833+00:00,2025-03-31T23:57:05.412833+00:00
53,DEBIT,**** **** **** 5601,LOCKED,true,2024-03-03T07:28:20.412833+00:00,2025-06-20T22:32:40.412833+00:00
53,DEBIT,**** **** **** 6621,LOCKED,true,2025-12-15T11:59:47.412833+00:00,2025-02-27T11:13:43.412833+00:00
54,CASH,**** **** **** 4840,LOCKED,true,2024-11-28T15:36:24.412833+00:00,2025-12-16T05:07:44.412833+00:00
55,CASH,**** **** **** 6997,LOCKED,true,2025-07-12T21:54:39.413332+00:00,2025-09-20T14:20:22.413332+00:00
55,DEBIT,**** **** **** 8034,REISSUE_REQUESTED,false,2024-03-04T06:17:06.413332+00:00,2026-01-19T15:33:13.413332+00:00
56,CASH,**** **** **** 5509,LOCKED,true,2025-01-10T08:08:57.413332+00:00,2026-01-27T17:09:22.413332+00:00
56,CASH,**** **** **** 8030,ACTIVE,false,2024-10-13T07:19:43.413332+00:00,2026-01-31T02:58:23.413332+00:00
57,CASH,**** **** **** 6767,REISSUE_REQUESTED,false,2024-09-12T09:13:37.413332+00:00,2025-03-03T02:24:48.413332+00:00
57,DEBIT,**** **** **** 8301,LOCKED,true,2024-06-09T00:49:51.413332+00:00,2025-07-19T05:07:56.413332+00:00
58,DEBIT,**** **** **** 4352,LOCKED,true,2025-06-18T02:06:35.413831+00:00,2025-12-06T23:54:29.413831+00:00
58,DEBIT,**** **** **** 6446,ACTIVE,false,2024-10-16T22:19:53.413831+00:00,2026-01-30T16:17:57.413831+00:00
59,CASH,**** **** **** 4024,LOCKED,true,2024-04-13T07:43:37.413831+00:00,2025-05-19T03:19:28.413831+00:00
59,CASH,**** **** **** 9775,ACTIVE,false,2024-10-31T10:15:21.413831+00:00,2025-07-14T22:47:28.413831+00:00
60,DEBIT,**** **** **** 3940,ACTIVE,false,2024-02-21T04:34:23.413831+00:00,2025-12-06T09:56:34.413831+00:00
60,DEBIT,**** **** **** 4713,LOCKED,true,2024-10-15T20:26:21.413831+00:00,2025-04-10T14:45:38.413831+00:00
61,DEBIT,**** **** **** 8343,LOCKED,true,2025-05-07T19:03:19.413831+00:00,2025-11-10T10:20:16.413831+00:00
62,DEBIT,**** **** **** 4378,ACTIVE,false,2026-01-10T18:26:05.413831+00:00,2025-09-24T20:34:53.413831+00:00
63,DEBIT,**** **** **** 2680,LOCKED,true,2025-01-31T12:55:23.414331+00:00,2025-12-29T06:20:35.414331+00:00
64,CASH,**** **** **** 8940,REISSUE_REQUESTED,false,2025-07-21T00:27:25.414331+00:00,2026-02-02T19:34:14.414331+00:00
65,DEBIT,**** **** **** 4937,LOCKED,true,2024-06-19T06:23:25.414331+00:00,2025-12-08T05:11:28.414331+00:00
65,CASH,**** **** **** 7142,LOCKED,true,2025-09-12T16:55:45.414331+00:00,2025-11-18T00:23:33.414331+00:00
66,CASH,**** **** **** 1002,LOCKED,true,2025-07-23T12:25:52.414331+00:00,2025-09-14T14:22:56.414331+00:00
67,DEBIT,**** **** **** 4914,ACTIVE,false,2025-08-04T14:45:37.414331+00:00,2025-10-12T22:34:39.414331+00:00
