user_id,request_type,status,title,detail,created_at,updated_at
1,ADDRESS_CHANGE,REVIEWING,住所変更申請,本人確認書類を確認中です。,2026-02-09T05:22:14.401814+00:00,2026-02-10T05:22:14.401814+00:00
1,CARD_REISSUE,RECEIVED,カード再発行申請,カード再発行を受け付けました。,2026-02-10T23:22:14.401814+00:00,2026-02-10T23:22:14.401814+00:00
2,NAME_CHANGE,COMPLETED,名義変更申請,名義変更が完了しました。,2026-02-01T05:22:14.401814+00:00,2026-02-02T05:22:14.401814+00:00
1,ADDRESS_CHANGE,REVIEWING,住所変更申請,住所変更申請の処理状況: REVIEWING,2025-07-01T08:38:10.406314+00:00,2025-07-06T22:38:10.406314+00:00
2,NAME_CHANGE,REJECTED,名義変更申請,名義変更申請の処理状況: REJECTED,2025-07-09T08:54:28.406814+00:00,2025-07-14T07:54:28.406814+00:00
2,LIMIT_CHANGE,RECEIVED,限度額変更申請,限度額変更申請の処理状況: RECEIVED,2026-02-03T07:33:51.406814+00:00,2026-02-12T13:33:51.406814+00:00
3,LIMIT_CHANGE,REVIEWING,限度額変更申請,限度額変更申請の処理状況: REVIEWING,2025-06-06T19:46:15.406814+00:00,2025-06-14T01:46:15.406814+00:00
4,NAME_CHANGE,RECEIVED,名義変更申請,名義変更申請の処理状況: RECEIVED,2025-04-19T03:54:28.408315+00:00,2025-04-25T13:54:28.408315+00:00
4,LIMIT_CHANGE,REJECTED,限度額変更申請,限度額変更申請の処理状況: REJECTED,2025-05-29T05:04:27.408315+00:00,2025-06-05T03:04:27.408315+00:00
5,CARD_REISSUE,COMPLETED,カード再発行申請,カード再発行申請の処理状況: COMPLETED,2025-06-08T02:59:37.408315+00:00,2025-06-14T20:59:37.408315+00:00
5,CARD_REISSUE,COMPLETED,カード再発行申請,カード再発行申請の処理状況: COMPLETED,2025-03-02T00:19:40.408315+00:00,2025-03-10T06:19:40.408315+00:00
6,NAME_CHANGE,REVIEWING,名義変更申請,名義変更申請の処理状況: REVIEWING,2025-04-02T22:12:06.408315+00:00,2025-04-12T09:12:06.408315+00:00
9,CARD_REISSUE,COMPLETED,カード再発行申請,カード再発行申請の処理状況: COMPLETED,2025-11-13T20:16:18.408815+00:00,2025-11-22T10:16:18.408815+00:00
11,CARD_REISSUE,RECEIVED,カード再発行申請,カード再発行申請の処理状況: RECEIVED,2025-08-30T10:13:37.408815+00:00,2025-09-07T21:13:37.408815+00:00
12,LIMIT_CHANGE,REJECTED,限度額変更申請,限度額変更申請の処理状況: REJECTED,2025-11-09T04:12:44.408815+00:00,2025-11-17T02:12:44.408815+00:00
12,CARD_REISSUE,REVIEWING,カード再発行申請,カード再発行申請の処理状況: REVIEWING,2025-06-20T21:50:58.408815+00:00,2025-06-26T02:50:58.408815+00:00
15,CARD_REISSUE,RECEIVED,カード再発行申請,カード再発行申請の処理状況: RECEIVED,2025-08-25T15:42:15.409314+00:00,2025-09-01T17:42:15.409314+00:00
16,NAME_CHANGE,REJECTED,名義変更申請,名義変更申請の処理状況: REJECTED,2025-03-15T15:42:57.409314+00:00,2025-03-15T17:42:57.409314+00:00
17,CARD_REISSUE,REVIEWING,カード再発行申請,カード再発行申請の処理状況: REVIEWING,2026-02-04T01:39:50.409314+00:00,2026-02-13T19:39:50.409314+00:00
18,NAME_CHANGE,REJECTED,名義変更申請,名義変更申請の処理状況: REJECTED,2025-12-06T09:58:48.409314+00:00,2025-12-14T04:58:48.409314+00:00
20,ADDRESS_CHANGE,COMPLETED,住所変更申請,住所変更申請の処理状況: COMPLETED,2025-06-25T01:47:01.409314+00:00,2025-06-27T20:47:01.409314+00:00
20,LIMIT_CHANGE,RECEIVED,限度額変更申請,限度額変更申請の処理状況: RECEIVED,2025-09-06T22:01:10.409814+00:00,2025-09-15T20:01:10.409814+00:00
21,LIMIT_CHANGE,REJECTED,限度額変更申請,限度額変更申請の処理状況: REJECTED,2025-08-30T13:31:24.409814+00:00,2025-09-01T19:31:24.409814+00:00
22,NAME_CHANGE,RECEIVED,名義変更申請,名義変更申請の処理状況: RECEIVED,2025-04-11T04:31:32.409814+00:00,2025-04-21T01:31:32.409814+00:00
23,NAME_CHANGE,REVIEWING,名義変更申請,名義変更申請の処理状況: REVIEWING,2025-12-12T05:02:24.409814+00:00,2025-12-18T18:02:24.409814+00:00
24,ADDRESS_CHANGE,REVIEWING,住所変更申請,住所変更申請の処理状況: REVIEWING,2025-05-18T22:21:19.409814+00:00,2025-05-28T22:21:19.409814+00:00
27,CARD_REISSUE,COMPLETED,カード再発行申請,カード再発行申請の処理状況: COMPLETED,2025-08-28T18:13:52.409814+00:00,2025-09-01T12:13:52.409814+00:00
28,LIMIT_CHANGE,RECEIVED,限度額変更申請,限度額変更申請の処理状況: RECEIVED,2025-06-13T19:43:42.410314+00:00,2025-06-18T21:43:42.410314+00:00
28,NAME_CHANGE,RECEIVED,名義変更申請,名義変更申請の処理状況: RECEIVED,2025-12-01T05:56:51.410314+00:00,2025-12-06T16:56:51.410314+00:00
29,ADDRESS_CHANGE,REVIEWING,住所変更申請,住所変更申請の処理状況: REVIEWING,2025-05-01T14:59:52.410314+00:00,2025-05-07T01:59:52.410314+00:00
29,LIMIT_CHANGE,REVIEWING,限度額変更申請,限度額変更申請の処理状況: REVIEWING,2026-01-12T10:40:50.410314+00:00,2026-01-21T12:40:50.410314+00:00
32,ADDRESS_CHANGE,REJECTED,住所変更申請,住所変更申請の処理状況: REJECTED,2025-09-19T12:51:47.410314+00:00,2025-09-26T17:51:47.410314+00:00
