user_id,title,message,severity,category,is_read,created_at
1,住所変更を受け付けました,住所変更の申請を受け付けました。審査完了までお待ちください。,INFO,address,false,2026-02-10T05:22:14.401814+00:00
1,振込受付,振込依頼を受け付けました。,INFO,transfer,true,2026-02-08T05:22:14.401814+00:00
2,セキュリティ注意喚起,不審なログインが検出されました。パスワード変更をご検討ください。,WARN,security,false,2026-02-11T00:22:14.401814+00:00
1,振込受付,振込依頼を受け付けました。,INFO,transfer,false,2025-09-15T00:08:58.406314+00:00
1,カード利用通知,カード利用を確認しました。,INFO,card,true,2025-03-29T15:36:26.406314+00:00
1,住所変更を受け付けました,住所変更の申請を受け付けました。,INFO,address,true,2025-08-20T16:17:49.406314+00:00
2,カード利用通知,カード利用を確認しました。,INFO,card,true,2025-08-01T19:30:39.406814+00:00
2,セキュリティ注意喚起,不審なログインが検出されました。,WARN,security,true,2025-07-12T08:05:20.406814+00:00
3,セキュリティ注意喚起,不審なログインが検出されました。,WARN,security,true,2025-08-07T08:17:00.406814+00:00
3,カード利用通知,カード利用を確認しました。,INFO,card,true,2026-01-31T06:46:23.406814+00:00
3,カード利用通知,カード利用を確認しました。,INFO,card,true,2025-12-03T10:22:53.406814+00:00
4,カード利用通知,カード利用を確認しました。,INFO,card,true,2025-05-13T18:27:32.408315+00:00
4,住所変更を受け付けました,住所変更の申請を受け付けました。,INFO,address,false,2025-08-22T13:21:49.408315+00:00
4,住所変更を受け付けました,住所変更の申請を受け付けました。,INFO,address,true,2025-09-24T19:10:00.408315+00:00
5,住所変更を受け付けました,住所変更の申請を受け付けました。,INFO,address,true,2025-07-23T09:51:09.408315+00:00
5,住所変更を受け付けました,住所変更の申請を受け付けました。,INFO,address,true,2025-08-13T09:44:12.408315+00:00
5,住所変更を受け付けました,住所変更の申請を受け付けました。,INFO,address,false,2025-12-25T12:08:16.408315+00:00
6,振込受付,振込依頼を受け付けました。,INFO,transfer,false,2025-08-01T10:09:27.408315+00:00
6,セキュリティ注意喚起,不審なログインが検出されました。,WARN,security,true,2025-03-01T13:57:36.408315+00:00
6,カード利用通知,カード利用を確認しました。,INFO,card,true,2025-10-03T16:56:06.408315+00:00
7,振込受付,振込依頼を受け付けました。,INFO,transfer,false,2026-01-17T13:48:21.408315+00:00
7,住所変更を受け付けました,住所変更の申請を受け付けました。,INFO,address,false,2025-05-06T11:17:51.408315+00:00
7,カード利用通知,カード利用を確認しました。,INFO,card,true,2025-05-26T00:32:05.408315+00:00
8,カード利用通知,カード利用を確認しました。,INFO,card,false,2025-05-22T21:48:31.408315+00:00
8,住所変更を受け付けました,住所変更の申請を受け付けました。,INFO,address,false,2025-11-27T09:08:47.408315+00:00
9,住所変更を受け付けました,住所変更の申請を受け付けました。,INFO,address,false,2025-06-06T13:24:51.408815+00:00
9,カード利用通知,カード利用を確認しました。,INFO,card,true,2025-11-27T22:24:58.408815+00:00
